dependency,version,source_url,spdx_license,license_tier,direct_or_transitive,usage_scope,linkage_or_boundary,modified,distributed_to_customer,hosted_service_only,notice_required,source_disclosure_required,network_copyleft,patent_clause,commercial_restriction,outbound_license_compatible,replacement_candidate,review_status,notes
pandas,>=2.0<3,https://github.com/pandas-dev/pandas,BSD-3-Clause,permissive,direct,runtime,import,no,yes,no,yes,no,no,no,no,yes,,green,DataFrames and Excel assembly
openpyxl,>=3.1<4,https://foss.heptapod.net/openpyxl/openpyxl,MIT,permissive,direct,runtime,import,no,yes,no,yes,no,no,no,no,yes,,green,xlsx writer
pypdf,>=4.0,https://github.com/py-pdf/pypdf,BSD-3-Clause,permissive,direct,runtime,import,no,yes,no,yes,no,no,no,no,yes,,green,PDF text-layer extraction; sole PDF backend since v1.6.0
python-docx,>=1.1,https://github.com/python-openxml/python-docx,MIT,permissive,direct,runtime,import,no,yes,no,yes,no,no,no,no,yes,,green,DOCX text extraction
matplotlib,>=3.7<4,https://github.com/matplotlib/matplotlib,Matplotlib-1.3.0 (BSD-style),permissive,direct,runtime,import,no,yes,no,yes,no,no,no,no,yes,,green,term-frequency figures; Agg backend only
google-api-python-client,>=2.100,https://github.com/googleapis/google-api-python-client,Apache-2.0,permissive,direct,runtime,import (lazy),no,yes,no,yes,no,no,yes,no,yes,,green,optional Google Drive ingestion
google-auth-httplib2,>=0.2,https://github.com/googleapis/google-auth-library-python-httplib2,Apache-2.0,permissive,direct,runtime,import (lazy),no,yes,no,yes,no,no,yes,no,yes,,green,Drive OAuth transport
google-auth-oauthlib,>=1.1,https://github.com/googleapis/google-auth-library-python-oauthlib,Apache-2.0,permissive,direct,runtime,import (lazy),no,yes,no,yes,no,no,yes,no,yes,,green,Drive OAuth flow
pytest,>=7.0,https://github.com/pytest-dev/pytest,MIT,permissive,direct,dev-only,none,no,no,no,no,no,no,no,no,yes,,green,test runner
pytest-cov,>=4.0,https://github.com/pytest-dev/pytest-cov,MIT,permissive,direct,dev-only,none,no,no,no,no,no,no,no,no,yes,,green,coverage plugin
reportlab,>=4.0,https://github.com/MrBitBucket/reportlab-mirror,BSD-3-Clause,permissive,direct,dev-only,none,no,no,no,no,no,no,no,no,yes,,green,test fixtures generate sample PDFs
pyinstaller,>=6.0,https://github.com/pyinstaller/pyinstaller,GPL-2.0-or-later WITH bootloader-exception,copyleft-with-exception,direct,build-only,build tool,no,no,no,yes,no,no,no,no,yes,,green,desktop build only; not redistributed; exception allows shipping the frozen app under its own licence
PyMuPDF,removed,https://github.com/pymupdf/PyMuPDF,AGPL-3.0-only,network-copyleft,direct,removed,removed,no,no,no,yes,yes,yes,yes,yes,no,pypdf,green,REMOVED in v1.6.0 to keep the stack permissive; do not reintroduce as a hard dependency
