category,term_id,canonical_term,search_variant,variant_type,roll_up_to_canonical,active,include_in_visuals,notes
AOI terms,TERM-001,area of interest,area of interest,base,yes,yes,yes,
AOI terms,TERM-001,area of interest,AOI,variant,yes,yes,yes,
AOI terms,TERM-002,geolocation,geolocation,base,yes,yes,yes,
AOI terms,TERM-003,GPS coordinate,GPS coordinate,base,yes,yes,yes,
AOI terms,TERM-003,GPS coordinate,coordinate,variant,yes,yes,yes,
AOI terms,TERM-003,GPS coordinate,point,variant,yes,yes,yes,
AOI terms,TERM-003,GPS coordinate,pin,variant,yes,yes,yes,
AOI terms,TERM-004,"latitude, longitude","latitude, longitude",base,yes,yes,yes,
AOI terms,TERM-004,"latitude, longitude",lat,variant,yes,yes,yes,
AOI terms,TERM-004,"latitude, longitude",long,variant,yes,yes,yes,
AOI terms,TERM-004,"latitude, longitude",latitude,variant,yes,yes,yes,
AOI terms,TERM-004,"latitude, longitude",longitude,variant,yes,yes,yes,
AOI terms,TERM-005,polygon,polygon,base,yes,yes,yes,
AOI terms,TERM-006,radius,radius,base,yes,yes,yes,
AOI terms,TERM-006,radius,point radius,variant,yes,yes,yes,
Commodity terms,TERM-007,agroforestry,agroforestry,base,yes,yes,no,
Commodity terms,TERM-007,agroforestry,citrus,variant,yes,yes,no,
Commodity terms,TERM-007,agroforestry,fruit,variant,yes,yes,no,
Commodity terms,TERM-007,agroforestry,banana,variant,yes,yes,no,
Commodity terms,TERM-008,cocoa,cocoa,base,yes,yes,no,
Commodity terms,TERM-009,coffee,coffee,base,yes,yes,no,
Commodity terms,TERM-009,coffee,cafe,variant,yes,yes,no,
Commodity terms,TERM-009,coffee,robusta,variant,yes,yes,no,
Commodity terms,TERM-009,coffee,arabic,variant,yes,yes,no,
Commodity terms,TERM-010,feed,feed,base,yes,yes,no,
Commodity terms,TERM-010,feed,sorghum,variant,yes,yes,no,
Commodity terms,TERM-010,feed,barley,variant,yes,yes,no,
Commodity terms,TERM-010,feed,oats,variant,yes,yes,no,
Commodity terms,TERM-010,feed,cottonseed,variant,yes,yes,no,
Commodity terms,TERM-010,feed,rapeseed,variant,yes,yes,no,
Commodity terms,TERM-010,feed,canola,variant,yes,yes,no,
Commodity terms,TERM-011,fiber,fiber,base,yes,yes,no,
Commodity terms,TERM-011,fiber,hemp,variant,yes,yes,no,
Commodity terms,TERM-011,fiber,cotton,variant,yes,yes,no,
Commodity terms,TERM-012,forages,forages,base,yes,yes,no,
Commodity terms,TERM-012,forages,alfalfa,variant,yes,yes,no,
Commodity terms,TERM-013,livestock,livestock,base,yes,yes,no,
Commodity terms,TERM-013,livestock,cattle,variant,yes,yes,no,
Commodity terms,TERM-013,livestock,beef,variant,yes,yes,no,
Commodity terms,TERM-013,livestock,dairy,variant,yes,yes,no,
Commodity terms,TERM-014,maize,maize,base,yes,yes,no,
Commodity terms,TERM-014,maize,corn,variant,yes,yes,no,
Commodity terms,TERM-014,maize,mais,variant,yes,yes,no,
Commodity terms,TERM-015,palm,palm,base,yes,yes,no,
Commodity terms,TERM-015,palm,palmoil,variant,yes,yes,no,
Commodity terms,TERM-015,palm,palm-fruit,variant,yes,yes,no,
Commodity terms,TERM-016,pasture,pasture,base,yes,yes,no,
Commodity terms,TERM-016,pasture,grazing,variant,yes,yes,no,
Commodity terms,TERM-017,rice,rice,base,yes,yes,no,
Commodity terms,TERM-018,rubber,rubber,base,yes,yes,no,
Commodity terms,TERM-019,soy,soy,base,yes,yes,no,
Commodity terms,TERM-019,soy,soya,variant,yes,yes,no,
Commodity terms,TERM-019,soy,soybean,variant,yes,yes,no,
Commodity terms,TERM-020,sugar,sugar,base,yes,yes,no,
Commodity terms,TERM-021,tea,tea,base,yes,yes,no,
Commodity terms,TERM-022,timber,timber,base,yes,yes,no,
Commodity terms,TERM-022,timber,acacia,variant,yes,yes,no,
Commodity terms,TERM-022,timber,planted trees,variant,yes,yes,no,
Commodity terms,TERM-022,timber,wood,variant,yes,yes,no,
Commodity terms,TERM-022,timber,pulp,variant,yes,yes,no,
Commodity terms,TERM-022,timber,paper,variant,yes,yes,no,
Commodity terms,TERM-022,timber,eucalyptus,variant,yes,yes,no,
Commodity terms,TERM-023,wheat,wheat,base,yes,yes,no,
Farm level terms,TERM-024,CAR,CAR,base,yes,yes,yes,
Farm level terms,TERM-024,CAR,cadastro,variant,yes,yes,yes,
Farm level terms,TERM-024,CAR,cadastral,variant,yes,yes,yes,
Farm level terms,TERM-024,CAR,cadastre,variant,yes,yes,yes,
Farm level terms,TERM-024,CAR,SICAR,variant,yes,yes,yes,
Farm level terms,TERM-025,concession,concession,base,yes,yes,yes,
Farm level terms,TERM-026,farm,farm,base,yes,yes,yes,
Farm level terms,TERM-027,field,field,base,yes,yes,yes,
Farm level terms,TERM-028,land management unit,land management unit,base,yes,yes,yes,
Farm level terms,TERM-028,land management unit,production unit,variant,yes,yes,yes,
Farm level terms,TERM-028,land management unit,production management unit,variant,yes,yes,yes,
Farm level terms,TERM-028,land management unit,LMU,variant,yes,yes,yes,
Farm level terms,TERM-028,land management unit,PMU,variant,yes,yes,yes,
Farm level terms,TERM-029,parcel,parcel,base,yes,yes,yes,
Farm level terms,TERM-030,plantation,plantation,base,yes,yes,yes,
Farm level terms,TERM-030,plantation,estate,variant,yes,yes,yes,
Farm level terms,TERM-031,plot,plot,base,yes,yes,yes,
Farm level terms,TERM-032,production area,production area,base,yes,yes,yes,
Farm level terms,TERM-032,production area,harvested area,variant,yes,yes,yes,
Farm level terms,TERM-032,production area,production unit,variant,yes,yes,yes,
Farm level terms,TERM-033,productive land,productive land,base,yes,yes,yes,
Farm level terms,TERM-034,property,property,base,yes,yes,yes,
Farm level terms,TERM-035,ranch,ranch,base,yes,yes,yes,
Farm level terms,TERM-035,ranch,paddock,variant,yes,yes,yes,
Jurisdictional terms,TERM-036,area,area,base,yes,yes,yes,
Jurisdictional terms,TERM-036,area,sourcing area,variant,yes,yes,yes,
Jurisdictional terms,TERM-036,area,catchment area,variant,yes,yes,yes,
Jurisdictional terms,TERM-037,catchment,catchment,base,yes,yes,yes,
Jurisdictional terms,TERM-037,catchment,sourcing catchment,variant,yes,yes,yes,
Jurisdictional terms,TERM-038,district,district,base,yes,yes,yes,
Jurisdictional terms,TERM-038,district,subdistrict,variant,yes,yes,yes,
Jurisdictional terms,TERM-038,district,sub-district,variant,yes,yes,yes,
Jurisdictional terms,TERM-039,jurisdiction,jurisdiction,base,yes,yes,yes,
Jurisdictional terms,TERM-039,jurisdiction,jurisdictional,variant,yes,yes,yes,
Jurisdictional terms,TERM-040,landscape,landscape,base,yes,yes,yes,
Jurisdictional terms,TERM-041,municipality,municipality,base,yes,yes,yes,
Jurisdictional terms,TERM-042,province,province,base,yes,yes,yes,
Jurisdictional terms,TERM-043,region,region,base,yes,yes,yes,
Jurisdictional terms,TERM-043,region,sourcing region,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,supply region,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,region of origin,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,origin,variant,yes,yes,yes,
search topic,TERM-044,agriculture,agriculture,base,yes,yes,no,
search topic,TERM-045,alerts,alerts,base,yes,yes,no,
search topic,TERM-046,biome,biome,base,yes,yes,no,
search topic,TERM-047,brazil,brazil,base,yes,yes,no,
search topic,TERM-048,cerrado,cerrado,base,yes,yes,no,
search topic,TERM-049,chaco,chaco,base,yes,yes,no,
search topic,TERM-050,chain of custody,chain of custody,base,yes,yes,no,
search topic,TERM-050,chain of custody,COC,variant,yes,yes,no,
search topic,TERM-050,chain of custody,chain-of-custody,variant,yes,yes,no,
search topic,TERM-051,commodity sourcing,commodity sourcing,base,yes,yes,no,
