candidate_dataset_mention_original,match_type,candidate_family_hint,documents_referencing,total_page_rows,total_page_occurrences
datasets,generic_dataset_cue,generic candidate cue,38,165,453
database,generic_dataset_cue,generic candidate cue,36,88,126
data sources,generic_dataset_cue,generic candidate cue,35,96,141
satellite imagery,generic_dataset_cue,generic candidate cue,28,101,132
databases,generic_dataset_cue,generic candidate cue,27,64,99
Global Forest Watch,seed_term,forest/land-cover monitoring dataset,27,69,96
dataset,generic_dataset_cue,generic candidate cue,24,119,286
PRODES,seed_term,forest/land-cover monitoring dataset,22,77,171
satellite data,generic_dataset_cue,generic candidate cue,22,32,37
HCV,seed_term,assessment framework / dataset-like source,21,189,791
Landsat,seed_term,remote sensing imagery/source,20,54,102
planet,seed_term,remote sensing imagery/source,20,25,32
CAR,seed_term,official registry / boundary / compliance list,19,74,175
Hansen,seed_term,forest/land-cover monitoring dataset,19,54,99
satellite images,generic_dataset_cue,generic candidate cue,19,53,63
GFW,seed_term,forest/land-cover monitoring dataset,18,92,274
Trase,seed_term,platform/tool/derived dataset,18,90,219
Soy Moratorium,seed_term,seed term,18,53,102
Sentinel,seed_term,remote sensing imagery/source,17,47,100
High Conservation Value,seed_term,assessment framework / dataset-like source,17,39,53
Database,generic_dataset_cue,generic candidate cue,16,38,62
geospatial data,generic_dataset_cue,generic candidate cue,15,32,39
tree cover loss,seed_term,seed term,14,46,104
spatial data,generic_dataset_cue,generic candidate cue,14,15,16
GLAD,seed_term,forest/land-cover monitoring dataset,13,40,66
MapBiomas,seed_term,forest/land-cover monitoring dataset,13,32,66
IBAMA,seed_term,official registry / boundary / compliance list,13,29,46
remote sensing data,generic_dataset_cue,generic candidate cue,13,25,32
Amazon Soy Moratorium,seed_term,seed term,13,19,21
DETER,seed_term,forest/land-cover monitoring dataset,13,18,20
JRC,seed_term,seed term,12,46,83
IBGE,seed_term,official registry / boundary / compliance list,12,26,30
data sets,generic_dataset_cue,generic candidate cue,12,25,30
deforestation alerts,generic_dataset_cue,generic candidate cue,12,18,20
Data sources,generic_dataset_cue,generic candidate cue,11,18,26
HCSA,seed_term,assessment framework / dataset-like source,11,17,23
